,node2vec,gmvae,Unnamed: 0,label,type
46.0,"[-0.479695, -0.4602, 0.59357, 0.538332, -0.390863, 0.0273357, -1.35645, -0.017973, -1.03262, 1.94397, 2.26917, 2.12597, -1.22569, -1.0036, -5.33165, -1.56075]","[0.19362583756446838, 1.1819026470184326, 0.3267001211643219, 0.20148050785064697, -0.2011806219816208, 0.2924608588218689, -0.4125923812389374, -0.25871390104293823, -0.6297044157981873, 0.9306911826133728, -0.2590455114841461, -0.5723000168800354, 0.19085608422756195, -1.028915286064148, -0.5740289688110352, 0.5536995530128479]",46,Stargardt disease,Ophthamological
47.0,"[-0.627727, 0.0352919, 0.256032, 0.298011, -0.243673, 0.12554, -0.962418, 0.08657, -1.06689, 1.78778, 1.73363, 2.03934, -1.06056, -0.919152, -4.75479, -1.83225]","[1.3765119314193726, -0.09737984836101532, 0.5280361175537109, 0.5231072306632996, -1.0946532487869263, -1.2250257730484009, -1.4334594011306763, -0.5861122012138367, -2.85109281539917, -1.6511999368667603, -0.0061667487025260925, -0.7372859120368958, -0.533367931842804, -0.1559695154428482, -0.9817448854446411, -0.45098966360092163]",47,Leukemia,Cancer
48.0,"[-0.82723, -0.271277, 0.508546, 0.402892, -0.381854, 0.425753, -1.00402, 0.166415, -1.33506, 2.68069, 2.56234, 2.15642, -1.24584, -1.2384, -5.9644, -1.61544]","[0.16133278608322144, -0.2003057897090912, -1.0025081634521484, 0.660812258720398, 0.1776709109544754, 1.032438039779663, -0.5100679397583008, -1.037829875946045, 0.2502223253250122, -0.1042037308216095, 0.4726923704147339, -0.6061803102493286, -0.8152480125427246, 0.2957955598831177, -1.3043642044067383, 0.4796076714992523]",48,Blood group,Hematological
53.0,"[-0.946866, -0.287459, 0.157971, 0.491565, -0.420111, 0.0667742, -1.30927, -0.323494, -1.36275, 1.95033, 2.51253, 2.06183, -1.15198, -1.30377, -5.51902, -1.57123]","[0.37579482793807983, 1.023316502571106, 0.42399507761001587, -0.10140517354011536, 0.14519737660884857, -0.5920681953430176, -0.07029873132705688, 0.09457716345787048, 0.20158496499061584, -0.11966989189386368, 0.3187423050403595, -0.9145395755767822, -0.30962032079696655, 0.16365092992782593, 0.5209507942199707, 0.5679334998130798]",53,Myopathy,Muscular
54.0,"[-0.869259, -0.340388, 0.160984, 0.464258, -0.209502, 0.0646923, -1.28254, -0.333838, -1.51357, 2.00388, 2.3754, 2.1377, -1.147, -1.27177, -5.44036, -1.52397]","[-1.1263056993484497, -0.38045647740364075, -0.7610822916030884, 1.402325987815857, 0.044700413942337036, 1.208980917930603, -0.30883821845054626, -0.3437306582927704, 1.1679251194000244, -0.6875714063644409, 0.4714367389678955, -1.0609996318817139, -1.1309319734573364, 1.2414671182632446, 1.7131978273391724, 0.9364821910858154]",54,Cardiomyopathy,Cardiovascular
55.0,"[-0.621983, -0.359344, 0.337951, 0.615573, -0.0783666, 0.0611421, -1.16519, -0.231553, -1.46153, 2.5059, 1.97237, 2.3836, -1.22354, -1.02383, -5.97525, -1.4598]","[-0.7146037817001343, -1.636160135269165, 0.5742415189743042, 0.17151647806167603, -0.815285325050354, 0.5374678373336792, 0.27178335189819336, -0.019174061715602875, 0.190891295671463, -2.889385938644409, -1.0062975883483887, 0.25096291303634644, -0.06923075020313263, 0.2946426570415497, 0.9425803422927856, -1.2029613256454468]",55,Deafness,"Ear,Nose,Throat"
59.0,"[-0.580633, -0.0768767, 0.238129, 0.394581, -0.214251, 0.158745, -1.14849, 0.101319, -0.784427, 1.84682, 1.56584, 1.87185, -0.871879, -1.10175, -4.95355, -1.60432]","[1.3190950155258179, -0.7145201563835144, 0.08530078083276749, -0.9080438017845154, -0.062087878584861755, 0.37835192680358887, -1.4049814939498901, 0.6630011796951294, 0.22839848697185516, -1.370523452758789, 0.25505632162094116, 0.3554891347885132, -0.3499811291694641, -2.0598859786987305, -0.11250752955675125, -1.4078888893127441]",59,Pancreatic cancer,Cancer
62.0,"[-0.560093, 0.0714739, 0.378076, 0.342095, -0.0860201, -0.284658, -0.99899, 0.0793581, -0.788109, 1.57368, 1.52333, 1.63018, -1.00567, -1.39112, -4.18256, -1.20686]","[0.15647800266742706, -0.01821419596672058, 0.3475286066532135, -0.11979672312736511, 0.5297985076904297, 0.7907688617706299, -0.5481839776039124, -0.11547335982322693, -0.666583240032196, -1.17310631275177, 0.789472222328186, 0.44940248131752014, 0.1782541275024414, 0.04407825320959091, 0.5584065318107605, -0.3681257963180542]",62,Adenosine deaminase deficiency,Immunological
63.0,"[-0.764434, 0.0394389, 0.341836, 0.397529, -0.105269, -0.270104, -1.28584, 0.149566, -1.17774, 2.13502, 2.11997, 2.26142, -1.41672, -1.85533, -5.95365, -1.64662]","[-0.3324369788169861, -0.7947112321853638, 0.7561562061309814, -0.33890751004219055, 1.380139946937561, 0.8218804001808167, -0.8417223691940308, -1.1245484352111816, -1.5045815706253052, -0.10522617399692535, -0.07043533027172089, -0.7467029094696045, -0.1490805298089981, 0.4245757758617401, 0.6613985300064087, -0.6431266069412231]",63,Severe combined immunodeciency,Immunological
65.0,"[-0.6586, -0.427504, 0.0088261, 0.360265, -0.476013, 0.469725, -1.29417, 0.130683, -1.26201, 2.17509, 2.0841, 2.4084, -1.06352, -1.18492, -5.67714, -1.56567]","[-0.2413616180419922, 0.38397207856178284, -0.0002676956355571747, 1.3158737421035767, -0.03612075746059418, 0.7744012475013733, -0.6414836049079895, 0.5319910049438477, 0.5146806836128235, 1.0555990934371948, 1.1057815551757812, 0.291131854057312, -0.9726300835609436, 0.13769909739494324, 1.0402164459228516, 2.0546257495880127]",65,Hypertension,Cardiovascular
68.0,"[-0.577738, -0.255888, 0.160215, 0.524695, -0.309944, 0.307185, -0.82257, 0.0416307, -1.44177, 2.45487, 2.21371, 2.09921, -1.23082, -1.37869, -5.42888, -1.72313]","[-1.3715137243270874, 1.104997992515564, 0.5279611349105835, 0.5447017550468445, 0.8530148863792419, 1.2337236404418945, -0.17344440519809723, -0.16778261959552765, -0.7182364463806152, -0.23220330476760864, -0.42276066541671753, -1.250085711479187, 0.14029155671596527, 0.2604713439941406, -0.21980345249176025, 1.3768075704574585]",68,Asthma,Respiratory
69.0,"[-0.470821, -0.332777, 0.0602023, 0.545367, -0.303199, 0.220331, -0.689699, -0.0890273, -1.20046, 1.98115, 1.74659, 1.67709, -0.85195, -1.12079, -4.38758, -1.50541]","[-0.8717950582504272, 0.6571483016014099, -0.13844212889671326, 1.023205280303955, 0.709780216217041, 0.031631775200366974, -1.3160669803619385, 0.7086278796195984, 0.6350452899932861, -0.04664105921983719, -0.4425155520439148, 0.8902511596679688, 0.1794045865535736, -0.7923065423965454, -0.18229153752326965, 0.13123029470443726]",69,"Beta-2-adrenoreceptor agonist, reduced response to",Unclassified
70.0,"[-0.505889, -0.492238, -0.0500801, 0.542077, -0.262887, 0.315649, -0.94727, -0.00309334, -1.28687, 1.97047, 1.9176, 1.74736, -0.916333, -1.27014, -4.84359, -1.53384]","[-0.4639178216457367, 0.9238241314888, 3.7041194438934326, 0.31422555446624756, 0.24134916067123413, -2.719932794570923, -0.8386768102645874, 0.6899592876434326, -2.4976043701171875, 3.7239904403686523, -1.6936770677566528, -1.039098858833313, 2.107515573501587, 0.9134277105331421, 0.23372890055179596, 0.082553431391716]",70,Obesity,Nutritional
74.0,"[-0.45001, -0.130544, 0.535904, 0.873578, -0.425626, 0.33997, -1.35675, -0.273542, -1.37874, 2.33372, 2.25158, 2.22314, -0.905734, -1.09024, -5.46841, -1.61572]","[-1.2223646640777588, -0.4426140785217285, -0.7036982774734497, -0.6005083322525024, 0.755496084690094, 1.57828688621521, 1.3965561389923096, -0.2172299474477768, 2.714158535003662, -0.6400392651557922, 0.28088515996932983, 0.5146586894989014, 1.6372119188308716, -1.1000157594680786, 0.9145366549491882, -1.8134292364120483]",74,Spondyloepiphyseal dysplasia,Skeletal
76.0,"[-0.355578, -0.334983, -0.0118663, 0.469516, -0.262444, 0.193776, -0.605497, 0.0384397, -1.02489, 1.50346, 1.3433, 1.3245, -0.738299, -0.878718, -3.52768, -1.26598]","[1.299450159072876, -0.7481907606124878, 2.272123098373413, -0.5166991949081421, -0.8382096290588379, -2.2394917011260986, -0.0225665383040905, 1.1401177644729614, -3.383037567138672, 2.4537601470947266, -2.5858194828033447, -0.5139597654342651, 1.6689741611480713, 0.5277576446533203, 0.6414100527763367, -0.23782220482826233]",76,"Leanness, inherited",Nutritional
77.0,"[-0.692016, -0.240638, 0.339191, 0.430019, -0.100568, -0.0920712, -1.23988, -0.0733952, -1.1687, 1.97716, 1.68998, 2.02489, -0.827171, -0.916134, -4.7168, -1.22966]","[0.2226506769657135, -0.8934574723243713, 0.34373682737350464, 0.03469327092170715, -0.7401370406150818, -0.20134857296943665, 0.23247411847114563, 0.629673421382904, 0.009973898530006409, 0.008342470973730087, -0.27238595485687256, -0.41452527046203613, 0.948222279548645, 0.19849374890327454, 0.4127193093299866, -1.0236716270446777]",77,Alagille syndrome,Multiple
78.0,"[-0.867434, -0.356037, 0.378846, 0.316477, -0.102702, -0.0247626, -1.36578, -0.143571, -1.34414, 2.2611, 2.05275, 2.28502, -0.860478, -1.12459, -5.39666, -1.40643]","[0.32191506028175354, -0.9524720907211304, 0.2494266778230667, -0.08060692250728607, -0.5831702351570129, -0.3501858413219452, 0.5857074856758118, 0.5995580554008484, -0.5110845565795898, 0.1700248122215271, -0.15429779887199402, -0.7102012634277344, 0.4641849994659424, 0.4983212351799011, 0.7332705855369568, -0.05091702938079834]",78,Tetralogy of Fallot,Cardiovascular
79.0,"[-0.511195, -0.404194, 0.0533642, 0.428582, -0.337259, 0.388067, -1.1652, 0.170771, -1.06893, 1.94407, 1.96632, 2.2092, -0.837821, -0.990986, -5.08366, -1.36594]","[0.6359994411468506, -0.24683065712451935, -0.2412990778684616, 0.6150993704795837, -0.3477724492549896, 0.5642901659011841, -0.6547874212265015, 0.20824630558490753, -0.3263477683067322, -0.39808350801467896, 0.8558249473571777, 0.6696122884750366, -1.1591848134994507, 0.003290995955467224, 0.8903669714927673, 1.702925205230713]",79,Preeclampsia,Cardiovascular
80.0,"[-0.633284, -0.444537, 0.0675125, 0.427329, -0.32012, 0.432405, -1.22011, 0.0884004, -1.06933, 2.08049, 2.05212, 2.25792, -1.06049, -1.31108, -5.4831, -1.50608]","[1.2792325019836426, 0.0789203867316246, 0.211030513048172, -0.3599104583263397, 0.3215007781982422, 1.4635474681854248, -0.25437989830970764, -0.05836806446313858, -0.38103699684143066, 1.3438783884048462, 1.5806459188461304, 1.0463165044784546, -0.20983338356018066, 0.4576457142829895, 0.6140859127044678, 0.3568631708621979]",80,Renal tubular dysgenesis,Renal
81.0,"[-0.871055, -0.493516, -0.0908513, 1.05211, -0.542477, 0.451729, -1.70011, -0.0798305, -1.06503, 2.56094, 2.64884, 2.52833, -1.79796, -1.18561, -6.58887, -2.13132]","[-1.1590654850006104, 0.16563735902309418, -0.655167281627655, 0.2575768828392029, -1.2720834016799927, -0.06324680149555206, 1.0255978107452393, 0.9554024338722229, -0.08859743922948837, 1.0638991594314575, -0.3749273121356964, -0.6709609031677246, -0.020699866116046906, -0.18403172492980957, 0.19895583391189575, -0.5504900813102722]",81,Mental retardation,Neurological
86.0,"[-0.913926, -0.272251, 0.515113, 0.393715, -0.45389, 0.41898, -1.157, 0.238719, -1.33133, 2.62854, 2.66406, 2.19942, -1.30017, -1.08725, -6.19397, -1.61846]","[0.21654558181762695, 0.6423661708831787, -0.20113933086395264, -0.12077489495277405, -0.13130703568458557, 0.5203238725662231, 0.3799622058868408, -0.7564069628715515, 0.30515018105506897, -0.8470796346664429, 0.33009999990463257, 0.44860926270484924, 0.5092895030975342, 0.7292895913124084, -0.4856279790401459, 0.4134376049041748]",86,Hemolytic anemia,Hematological
87.0,"[-0.446638, -0.360422, -0.0623998, 0.374174, -0.195748, 0.217187, -1.09876, 0.161601, -1.21249, 1.86651, 1.8884, 2.06032, -0.932707, -1.29448, -5.04209, -1.54472]","[-2.1859548091888428, 1.4487919807434082, 1.9174163341522217, 0.9976947903633118, -1.7325026988983154, 1.1947287321090698, 0.2943192720413208, 2.0600030422210693, -1.9750723838806152, 1.997304916381836, -0.466956228017807, -0.0843350887298584, 0.858981192111969, 0.9356836676597595, 0.6628554463386536, 0.23311111330986023]",87,Diabetes mellitus,Endocrine
98.0,"[-0.433319, -0.164676, 0.129882, 0.424034, -0.159122, 0.159614, -0.465513, 0.012329, -0.977507, 1.75396, 1.50224, 1.62299, -0.806141, -0.942843, -3.83062, -1.34172]","[0.6573742032051086, -0.7233117818832397, -0.7182602882385254, 0.7283558249473572, -0.3195744752883911, 1.2092814445495605, -0.1835290491580963, -0.29224926233291626, -0.7072023749351501, 0.2324313074350357, -0.3418584167957306, 0.26621705293655396, -0.1057654321193695, 0.24618244171142578, -0.3127613067626953, 1.5546101331710815]",98,Atherosclerosis,Cardiovascular
99.0,"[-0.612336, -0.47083, 0.166545, 0.511054, -0.205219, 0.358371, -1.34338, 0.275824, -0.989769, 2.13838, 2.25994, 2.24537, -1.15143, -1.46961, -5.44537, -1.5642]","[0.24906060099601746, 0.4844887852668762, 0.6824830174446106, -0.3530929386615753, 0.2236996740102768, 1.233520746231079, 0.5207995772361755, -0.09328234195709229, -0.15432746708393097, 0.9957306981086731, 0.8170150518417358, 1.2164491415023804, -0.7384891510009766, 0.3462582230567932, 0.3994129002094269, 0.7731237411499023]",99,Myocardial infarction,Cardiovascular
100.0,"[-0.519218, -0.339717, 0.12735, 0.433577, -0.210501, 0.290164, -1.03587, 0.289864, -0.774269, 1.55286, 1.5873, 1.61469, -0.644828, -0.979503, -3.89373, -1.10423]","[0.3583291172981262, 0.6446239352226257, 0.0902266576886177, 0.7784283757209778, 0.4699070453643799, 0.4082922339439392, 0.2064504325389862, 0.44135329127311707, -0.1455727070569992, 0.3520616590976715, 0.5730257034301758, -0.6189306378364563, -0.07307232916355133, 0.6139702200889587, 0.059474796056747437, 0.4331032931804657]",100,Stroke,Cardiovascular
101.0,"[-0.495927, 0.106144, 0.16417, 0.63742, -0.008264, 0.406711, -1.01951, -0.333151, -0.871781, 1.93649, 2.22449, 1.95867, -1.18788, -0.910407, -4.87479, -1.59032]","[-0.7171565294265747, 0.48042774200439453, 0.31478381156921387, -0.40039902925491333, -0.3557852506637573, -0.0051669105887413025, 0.43604394793510437, -0.4645727574825287, 0.2619927227497101, -0.4951198697090149, 0.6743983626365662, 0.7641550898551941, -0.45142143964767456, -0.027326680719852448, 0.2744489908218384, -0.5578187704086304]",101,Ichthyosiform erythroderma,Dermatological
109.0,"[-0.923267, -0.271353, 0.526007, 0.438896, -0.465671, 0.470095, -1.13082, 0.256389, -1.34786, 2.68414, 2.68696, 2.20949, -1.32958, -1.13181, -6.20346, -1.67668]","[0.7568503022193909, -0.9748681783676147, -0.8925697803497314, 0.09499981999397278, -0.4377592206001282, 1.274954915046692, 0.07602351903915405, -0.6223534345626831, -0.05314096808433533, 0.2536006569862366, 0.49079564213752747, -1.4676852226257324, -0.3304659426212311, -0.20974987745285034, -0.7579480409622192, -0.10771900415420532]",109,Spherocytosis,Hematological
110.0,"[-1.09882, -0.508681, 0.383791, 0.0268748, -0.122946, -0.0110694, -1.56965, -0.101178, -1.43121, 2.51803, 2.6771, 2.86282, -0.974074, -1.25481, -6.34318, -1.76588]","[0.07972162216901779, -0.43623560667037964, 0.20324809849262238, 0.5880529284477234, 0.2930903434753418, 0.7581192255020142, 0.2623617351055145, 1.290786862373352, -0.48367416858673096, -0.2371407449245453, 0.7238370776176453, -0.7625640630722046, 0.5980836153030396, 0.5533609390258789, 0.7009670734405518, 0.8883638978004456]",110,Long QT syndrome,Cardiovascular
112.0,"[-0.395932, -0.201835, 0.327889, 0.337876, -0.427029, -0.0698742, -1.1445, -0.109276, -0.87966, 1.87967, 2.00554, 1.55512, -0.597996, -0.98449, -4.67088, -1.47678]","[0.8678221106529236, -0.4471837878227234, 0.257624089717865, -0.3795052468776703, -0.2025812417268753, 0.01760265976190567, 0.5387282967567444, 0.06843075156211853, -0.2089562863111496, -1.083528757095337, 0.3169618248939514, 0.37966424226760864, -0.032666534185409546, -1.097856879234314, -1.3170735836029053, -0.5282601714134216]",112,"Adenoma, periampullary",Cancer
113.0,"[-0.42197, -0.276582, 0.303435, 0.372695, -0.444602, -0.0803133, -1.08942, -0.04612, -0.964917, 1.90761, 2.07114, 1.55579, -0.691164, -0.920417, -4.68739, -1.58657]","[0.4421977996826172, -1.1829379796981812, 0.47213464975357056, -0.6538950204849243, -0.5335736274719238, -0.3173042833805084, 0.20298320055007935, 0.15590646862983704, -0.36580151319503784, -1.3853363990783691, 0.5637521743774414, -0.021635890007019043, -0.1063859611749649, -1.0801732540130615, -1.0142712593078613, 0.045598626136779785]",113,Adenomas,Cancer
114.0,"[-0.40459, -0.0484648, 0.150561, 0.392795, -0.366848, 0.108271, -1.13239, -0.0279696, -0.904308, 1.81174, 1.77393, 1.68062, -0.851089, -0.825291, -4.83393, -1.71453]","[1.344545841217041, -0.1859547346830368, 0.05932329222559929, 0.2660788893699646, -0.5689915418624878, 0.5990358591079712, 0.03256579488515854, -0.0667959451675415, -0.5898198485374451, -2.078057289123535, -0.35793498158454895, 0.9162179827690125, -0.8914673328399658, -2.318669319152832, -2.1336402893066406, -1.4373764991760254]",114,Colon cancer,Cancer
115.0,"[-0.377538, -0.217947, 0.356278, 0.309152, -0.461148, -0.13055, -1.1426, -0.114031, -0.887986, 1.93463, 2.0167, 1.45913, -0.619433, -1.00243, -4.55162, -1.46337]","[1.103511929512024, -0.3421112596988678, 0.3966997265815735, 0.07217493653297424, -0.3917168974876404, 0.276932954788208, 0.14915326237678528, -0.048526108264923096, -0.019657045602798462, -0.992735743522644, 0.2814553678035736, 0.06853342056274414, -0.10885393619537354, -1.2859210968017578, -1.298134684562683, -0.7685064077377319]",115,"Desmoid disease, hereditary",Cancer
116.0,"[-0.376073, -0.21935, 0.385914, 0.345685, -0.493885, -0.0962085, -1.13036, -0.139568, -0.87164, 1.85026, 1.92913, 1.43834, -0.671181, -1.01331, -4.57447, -1.48509]","[0.02214062213897705, -0.46175065636634827, -0.22872795164585114, -0.2587893307209015, -0.2794109582901001, 0.40675994753837585, 0.2243788242340088, 0.45628392696380615, 0.4030362367630005, -1.0637832880020142, 0.38855087757110596, 0.1288711279630661, -0.28291773796081543, -1.3148764371871948, -1.1120136976242065, -0.5191727876663208]",116,Gardner syndrome,Cancer
117.0,"[-0.392233, -0.268332, 0.259073, 0.344302, -0.363741, 0.203198, -1.14783, -0.178812, -0.965494, 2.00155, 1.73261, 1.54009, -0.696668, -1.01162, -4.86368, -1.50723]","[0.6805906295776367, 0.05070910230278969, 1.1242012977600098, 1.566441535949707, -0.8897458910942078, 0.9457331299781799, 0.2639560401439667, 0.42754897475242615, -1.5139671564102173, -1.7316275835037231, -0.22510245442390442, 0.5791925191879272, -1.0853520631790161, -1.260938048362732, -2.06986665725708, -1.5213721990585327]",117,Gastric cancer,Cancer
118.0,"[-0.401185, -0.254521, 0.325504, 0.387536, -0.390631, -0.116963, -1.10079, -0.0776591, -1.00936, 1.87559, 1.99771, 1.50857, -0.710575, -0.916569, -4.65751, -1.56296]","[1.2224202156066895, -0.29228881001472473, 0.4586881697177887, -0.5405641794204712, -0.4306735396385193, 0.46130263805389404, -0.30644702911376953, 0.09436589479446411, 0.26051604747772217, -0.8240451216697693, 0.06593447923660278, 0.7046144008636475, -0.1408747434616089, -1.0328760147094727, -0.8095924854278564, -0.35834643244743347]",118,Turcot syndrome,Cancer
119.0,"[-0.395182, -0.321076, 0.0818693, 0.493031, -0.36706, 0.00861393, -1.12357, 0.134863, -0.805764, 1.76939, 1.69118, 1.61364, -0.485007, -0.890305, -4.66457, -1.23196]","[-0.7025235891342163, -0.4147492051124573, -0.38104087114334106, 0.07494695484638214, -1.1754838228225708, -0.10678240656852722, 0.5295196175575256, -1.3685232400894165, -0.8832517862319946, -0.3858491778373718, -0.0962316170334816, 0.057671669870615005, -0.9484004974365234, -0.5316367745399475, -0.08028045296669006, -0.5341516137123108]",119,Autoimmune disease,Immunological
120.0,"[-0.498009, -0.26717, 0.346611, 0.611574, 0.0324489, 0.382866, -1.5771, 8.05621e-05, -0.947778, 2.50162, 2.66547, 2.54745, -1.11188, -1.52385, -5.89726, -1.66141]","[0.367375910282135, -0.37514424324035645, 0.3065650165081024, -0.3587021231651306, 0.957579493522644, 0.7368052005767822, -0.033231914043426514, -0.07431179285049438, 0.8421372175216675, -0.7151854634284973, -0.13429075479507446, 0.030831217765808105, -0.5550252795219421, 0.29704904556274414, -1.1931947469711304, 0.15145808458328247]",120,Amyloidosis,Neurological
121.0,"[-0.32262, -0.225784, 0.494618, 0.575589, -0.0288081, 0.22686, -1.47016, -0.158646, -0.888674, 2.42273, 2.58847, 2.54044, -0.934736, -1.37805, -5.66969, -1.58172]","[0.3442211449146271, -1.139230489730835, 0.02703481912612915, -0.633803129196167, 0.11355920135974884, 0.4241305887699127, 0.7073050737380981, 0.8490254878997803, -0.875817060470581, -0.7152774930000305, -0.1307760626077652, 0.07525873184204102, -0.08235961198806763, 0.10002224147319794, -0.355704128742218, -0.1036786139011383]",121,Apolipoprotein deficiency,Metabolic
122.0,"[-0.376803, -0.211409, 0.499973, 0.573421, -0.024728, 0.198685, -1.6067, -0.134888, -0.963694, 2.47756, 2.72608, 2.68259, -0.973095, -1.45922, -6.00622, -1.61222]","[-0.09977985173463821, -0.32642796635627747, 1.0517666339874268, -0.276246041059494, -1.2763595581054688, 0.21780815720558167, -0.11256031692028046, -0.13066735863685608, -0.80462646484375, 0.3311081528663635, 0.29251477122306824, -1.3695380687713623, 0.13297224044799805, 0.250095397233963, -0.6674553751945496, 0.8542132377624512]",122,Corneal dystrophy,Ophthamological
